iter	Passed	Remaining
0	0	67
1	1	61
2	1	57
3	2	52
4	2	51
5	3	50
6	3	49
7	4	48
8	4	48
9	5	47
10	5	46
11	6	45
12	6	45
13	7	44
14	7	44
15	8	43
16	8	42
17	9	42
18	9	41
19	10	41
20	10	40
21	11	40
22	11	39
23	12	38
24	12	38
25	13	37
26	13	37
27	14	36
28	14	36
29	15	35
30	16	35
31	16	35
32	17	34
33	17	34
34	18	33
35	18	33
36	19	32
37	19	32
38	20	31
39	20	31
40	21	30
41	21	29
42	22	29
43	22	28
44	23	28
45	23	28
46	24	27
47	25	27
48	25	26
49	26	26
50	26	25
51	27	25
52	28	24
53	28	24
54	29	23
55	29	23
56	30	22
57	30	22
58	31	21
59	32	21
60	32	20
61	33	20
62	33	19
63	34	19
64	35	18
65	35	18
66	36	17
67	37	17
68	37	16
69	38	16
70	38	15
71	39	15
72	40	14
73	40	14
74	41	13
75	42	13
76	42	12
77	43	12
78	44	11
79	45	11
80	46	10
81	47	10
82	48	9
83	48	9
84	49	8
85	50	8
86	50	7
87	51	6
88	51	6
89	52	5
90	53	5
91	53	4
92	54	4
93	55	3
94	55	2
95	56	2
96	56	1
97	57	1
98	58	0
99	59	0
